"Transition_Karyotypes","n"
"1.2.2.1.2.2.2.2.2.1.1.1.2.1.1.2.2.2.2.2.2.1",96
"1.2.2.1.2.2.2.2.2.1.2.1.2.1.1.2.2.2.2.1.2.1",96
"1.2.2.1.2.2.2.2.2.1.2.1.2.1.1.2.2.2.2.2.3.1",96
"1.2.2.1.2.2.2.2.2.1.2.1.2.1.1.2.2.2.2.3.2.1",96
"1.2.2.1.2.2.2.2.2.1.2.1.2.1.2.2.2.2.2.2.2.1",96
"1.2.2.1.2.2.2.2.2.1.2.1.2.2.1.2.2.2.2.2.2.1",96
"1.2.2.1.2.2.2.2.2.1.3.1.2.1.1.2.2.2.2.2.2.1",96
"1.2.2.1.2.2.2.2.2.2.2.1.2.1.1.2.2.2.2.2.2.1",96
"1.2.2.1.2.2.2.2.3.1.2.1.2.1.1.2.2.2.2.2.2.1",96
"1.2.2.1.2.2.2.3.2.1.2.1.2.1.1.2.2.2.2.2.2.1",96
"1.2.2.1.2.2.3.1.2.1.2.1.2.1.1.1.1.2.2.2.2.1",96
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.1.1.2.2.2.3.1",96
"1.2.2.1.2.2.3.3.2.1.2.1.2.1.1.1.1.2.2.2.2.1",96
"1.2.3.1.2.1.2.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",96
"1.2.3.1.2.2.2.2.2.1.2.1.2.1.1.2.1.1.2.2.2.1",96
"1.2.3.1.2.2.2.2.2.1.2.1.2.1.1.2.1.2.2.2.2.2",96
"1.2.3.1.2.2.2.2.2.1.2.1.2.1.1.2.1.2.3.2.2.1",96
"1.2.3.1.2.2.2.2.2.1.2.2.2.1.1.2.1.2.2.2.2.1",96
"2.2.2.1.2.2.3.2.1.1.2.1.2.1.1.2.2.2.2.2.2.2",96
"2.2.2.2.2.2.3.2.2.1.2.2.2.1.1.2.1.2.2.2.2.1",96
"1.2.2.1.2.2.3.1.2.1.2.1.2.1.1.2.1.2.3.2.2.1",95
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.3.2.3.1",95
"1.2.2.1.2.2.3.3.2.1.2.1.2.1.1.2.1.2.3.2.2.1",95
"2.1.3.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",94
"2.2.3.1.2.2.3.2.2.1.1.1.2.1.1.2.1.2.2.2.2.1",94
"2.2.3.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.3.2.1",94
"2.2.3.1.2.2.3.2.2.1.2.1.2.1.1.3.1.2.2.2.2.1",94
"2.2.3.1.2.2.3.2.2.1.2.1.2.1.2.2.1.2.2.2.2.1",94
"2.2.3.1.2.2.3.2.2.1.3.1.2.1.1.2.1.2.2.2.2.1",94
"2.2.3.1.2.2.3.2.2.2.2.1.2.1.1.2.1.2.2.2.2.1",94
"2.2.3.1.2.2.3.2.3.1.2.1.2.1.1.2.1.2.2.2.2.1",94
"1.2.2.1.1.2.3.2.2.1.2.2.2.1.1.2.1.2.2.2.2.1",92
"1.2.2.1.2.2.4.2.2.1.2.1.1.1.1.2.1.2.2.2.2.1",92
"2.2.2.1.2.2.3.1.2.1.2.1.2.1.1.2.1.2.2.2.2.2",92
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.3.2",92
"2.2.2.1.2.2.3.3.2.1.2.1.2.1.1.2.1.2.2.2.2.2",92
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.1.3.2.2.1",91
"2.1.2.1.1.2.3.2.2.1.2.1.2.1.1.2.2.2.2.2.2.1",91
"2.2.2.1.1.2.3.2.2.1.1.1.2.1.1.2.2.2.2.2.2.1",91
"2.2.2.1.1.2.3.2.2.1.2.1.2.1.1.2.2.2.2.3.2.1",91
"2.2.2.1.1.2.3.2.2.1.2.1.2.1.1.3.2.2.2.2.2.1",91
"2.2.2.1.1.2.3.2.2.1.2.1.2.1.2.2.2.2.2.2.2.1",91
"2.2.2.1.1.2.3.2.2.1.3.1.2.1.1.2.2.2.2.2.2.1",91
"2.2.2.1.1.2.3.2.2.2.2.1.2.1.1.2.2.2.2.2.2.1",91
"2.2.2.1.1.2.3.2.3.1.2.1.2.1.1.2.2.2.2.2.2.1",91
"2.2.2.1.2.2.3.2.1.1.2.2.2.1.1.2.1.2.2.2.2.1",91
"1.2.2.1.2.2.2.2.2.1.2.1.2.1.1.3.2.2.2.2.2.1",90
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.1.1.2.2.1.2.1",88
"1.2.2.1.2.2.3.2.2.1.2.1.2.2.1.1.1.2.2.2.2.1",88
"1.2.2.2.2.1.3.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",88
"1.2.2.1.2.2.3.2.1.1.2.1.2.1.1.2.1.1.2.2.2.1",86
"2.2.2.1.1.2.4.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",86
"2.2.2.1.2.2.3.2.1.1.2.2.2.1.1.2.2.2.2.2.2.1",85
"1.1.2.1.2.2.3.2.2.1.2.1.2.1.1.1.1.2.2.2.2.1",84
"1.2.2.1.1.2.3.1.2.1.2.1.2.1.1.2.1.2.2.2.2.1",84
"1.2.2.1.1.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.3.1",84
"1.2.2.1.1.2.3.3.2.1.2.1.2.1.1.2.1.2.2.2.2.1",84
"1.2.2.1.2.2.3.2.2.1.1.1.2.1.1.1.1.2.2.2.2.1",84
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.1.1.2.2.3.2.1",84
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.2.1.1.2.2.2.2.1",84
"1.2.2.1.2.2.3.2.2.1.3.1.2.1.1.1.1.2.2.2.2.1",84
"1.2.2.1.2.2.3.2.2.2.2.1.2.1.1.1.1.2.2.2.2.1",84
"1.2.2.1.2.2.3.2.3.1.2.1.2.1.1.1.1.2.2.2.2.1",84
"2.2.2.1.1.1.2.2.2.1.2.1.2.1.1.2.2.2.2.2.2.1",84
"2.2.2.1.1.2.2.2.2.1.2.1.2.1.1.2.2.1.2.2.2.1",84
"2.2.2.1.1.2.2.2.2.1.2.1.2.1.1.2.2.2.2.2.2.2",84
"2.2.2.1.1.2.2.2.2.1.2.2.2.1.1.2.2.2.2.2.2.1",84
"2.2.2.1.2.1.2.2.2.1.2.1.2.1.1.1.2.2.2.2.2.1",84
"2.2.2.1.2.2.2.2.2.1.2.1.2.1.1.1.2.1.2.2.2.1",84
"2.2.2.1.2.2.2.2.2.1.2.1.2.1.1.1.2.2.2.2.2.2",84
"2.2.2.1.2.2.2.2.2.1.2.2.2.1.1.1.2.2.2.2.2.1",84
"2.2.2.1.2.2.3.1.2.1.2.1.2.1.1.2.1.1.2.2.2.1",83
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.1.2.2.3.1",83
"2.2.2.1.2.2.3.3.2.1.2.1.2.1.1.2.1.1.2.2.2.1",83
"2.2.2.1.2.2.3.1.2.1.2.1.2.1.1.2.2.1.2.2.2.1",82
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.2.1.2.2.3.1",82
"2.2.2.1.2.2.3.3.2.1.2.1.2.1.1.2.2.1.2.2.2.1",82
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.3.1.2.1",81
"2.2.2.1.2.2.3.2.2.1.2.1.2.2.1.2.1.2.3.2.2.1",81
"2.2.2.1.2.2.4.2.2.1.2.1.2.1.1.2.1.2.3.2.2.1",81
"1.2.2.1.2.2.4.2.2.1.2.1.2.1.1.1.1.2.2.2.2.1",80
"1.2.2.1.2.1.3.2.1.1.2.1.2.1.1.2.1.2.2.2.2.1",78
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.2.2.3.1.2.1",77
"2.2.2.1.2.2.3.2.2.1.2.1.2.2.1.2.2.2.3.2.2.1",77
"2.2.2.1.2.2.4.2.2.1.2.1.2.1.1.2.2.2.3.2.2.1",77
"1.2.2.1.2.2.3.2.1.1.2.1.2.1.1.2.1.2.2.2.2.2",76
"1.2.2.1.1.2.2.2.2.1.2.1.2.1.1.1.1.2.2.2.2.1",75
"2.2.2.1.2.1.3.2.2.1.2.1.2.1.1.2.1.2.3.2.2.1",75
"2.2.2.1.2.1.3.1.2.1.2.1.2.1.1.2.1.2.2.2.2.1",73
"2.2.2.1.2.1.3.2.2.1.2.1.2.1.1.2.1.2.2.2.3.1",73
"2.2.2.1.2.1.3.3.2.1.2.1.2.1.1.2.1.2.2.2.2.1",73
"2.1.2.1.2.2.2.2.2.1.2.1.1.1.1.2.1.2.2.2.2.1",72
"2.2.2.1.2.2.2.1.2.1.2.1.1.1.1.2.1.2.2.2.2.1",72
"2.2.2.1.2.2.2.2.1.1.2.1.1.1.1.2.1.2.2.2.2.1",72
"2.2.2.1.2.2.2.2.2.1.1.1.1.1.1.2.1.2.2.2.2.1",72
"2.2.2.1.2.2.2.2.2.1.2.1.1.1.1.2.1.2.2.1.2.1",72
"2.2.2.1.2.2.2.2.2.1.2.1.1.1.1.2.1.2.2.2.3.1",72
"2.2.2.1.2.2.2.2.2.1.2.1.1.1.1.2.1.2.2.3.2.1",72
"2.2.2.1.2.2.2.2.2.1.2.1.1.1.1.3.1.2.2.2.2.1",72
"2.2.2.1.2.2.2.2.2.1.2.1.1.1.2.2.1.2.2.2.2.1",72
"2.2.2.1.2.2.2.2.2.1.2.1.1.2.1.2.1.2.2.2.2.1",72
"2.2.2.1.2.2.2.2.2.1.3.1.1.1.1.2.1.2.2.2.2.1",72
"2.2.2.1.2.2.2.2.2.2.2.1.1.1.1.2.1.2.2.2.2.1",72
"2.2.2.1.2.2.2.2.3.1.2.1.1.1.1.2.1.2.2.2.2.1",72
"2.2.2.1.2.2.2.3.2.1.2.1.1.1.1.2.1.2.2.2.2.1",72
"1.2.2.2.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.1.2.1",71
"1.2.2.2.2.2.3.2.2.1.2.1.2.2.1.2.1.2.2.2.2.1",71
"2.2.2.1.2.1.3.1.2.1.2.1.2.1.1.2.2.2.2.2.2.1",71
"2.2.2.1.2.1.3.2.2.1.2.1.2.1.1.2.2.2.2.2.3.1",71
"2.2.2.1.2.1.3.3.2.1.2.1.2.1.1.2.2.2.2.2.2.1",71
"2.2.3.1.1.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.2.2",71
"1.2.2.1.2.2.3.2.1.1.2.2.2.1.1.2.1.2.2.2.2.1",70
"2.2.2.1.2.1.3.2.2.1.2.1.2.1.1.2.2.2.3.2.2.1",70
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.1.2.2.2.2",68
"1.2.2.2.2.2.4.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",67
"2.2.2.1.2.1.3.2.2.1.2.1.2.1.1.2.1.1.2.2.2.1",67
"2.2.2.1.2.2.3.2.1.1.2.1.2.1.1.2.2.2.2.1.2.1",67
"2.2.2.1.2.2.3.2.1.1.2.1.2.2.1.2.2.2.2.2.2.1",67
"2.2.2.1.2.2.4.2.1.1.2.1.2.1.1.2.2.2.2.2.2.1",67
"2.1.2.1.1.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",66
"2.2.2.1.1.2.3.2.2.1.1.1.2.1.1.2.1.2.2.2.2.1",66
"2.2.2.1.1.2.3.2.2.1.2.1.2.1.1.2.1.2.2.3.2.1",66
"2.2.2.1.1.2.3.2.2.1.2.1.2.1.1.3.1.2.2.2.2.1",66
"2.2.2.1.1.2.3.2.2.1.2.1.2.1.2.2.1.2.2.2.2.1",66
"2.2.2.1.1.2.3.2.2.1.3.1.2.1.1.2.1.2.2.2.2.1",66
"2.2.2.1.1.2.3.2.2.2.2.1.2.1.1.2.1.2.2.2.2.1",66
"2.2.2.1.1.2.3.2.3.1.2.1.2.1.1.2.1.2.2.2.2.1",66
"1.1.3.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",64
"1.2.2.1.2.2.3.1.2.1.2.1.2.1.1.2.1.1.2.2.2.1",64
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.1.2.2.3.1",64
"1.2.2.1.2.2.3.3.2.1.2.1.2.1.1.2.1.1.2.2.2.1",64
"1.2.2.2.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.2.2",64
"1.2.3.1.2.2.3.2.2.1.1.1.2.1.1.2.1.2.2.2.2.1",64
"1.2.3.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.3.2.1",64
"1.2.3.1.2.2.3.2.2.1.2.1.2.1.1.3.1.2.2.2.2.1",64
"1.2.3.1.2.2.3.2.2.1.2.1.2.1.2.2.1.2.2.2.2.1",64
"1.2.3.1.2.2.3.2.2.1.3.1.2.1.1.2.1.2.2.2.2.1",64
"1.2.3.1.2.2.3.2.2.2.2.1.2.1.1.2.1.2.2.2.2.1",64
"1.2.3.1.2.2.3.2.3.1.2.1.2.1.1.2.1.2.2.2.2.1",64
"2.2.2.1.2.1.3.2.2.1.2.1.2.1.1.2.2.1.2.2.2.1",64
"2.2.2.1.2.2.3.1.2.1.2.1.2.1.1.2.2.2.2.2.2.2",64
"2.2.2.1.2.2.3.1.2.1.2.1.2.1.1.2.2.2.2.2.3.1",64
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.2.2.2.2.3.2",64
"2.2.2.1.2.2.3.3.2.1.2.1.2.1.1.2.2.2.2.2.2.2",64
"2.2.2.1.2.2.3.3.2.1.2.1.2.1.1.2.2.2.2.2.3.1",64
"2.1.2.1.2.2.2.2.2.1.2.1.1.1.1.2.2.2.2.2.2.1",63
"2.2.2.1.2.2.2.1.2.1.2.1.1.1.1.2.2.2.2.2.2.1",63
"2.2.2.1.2.2.2.2.1.1.2.1.1.1.1.2.2.2.2.2.2.1",63
"2.2.2.1.2.2.2.2.2.1.1.1.1.1.1.2.2.2.2.2.2.1",63
"2.2.2.1.2.2.2.2.2.1.2.1.1.1.1.2.2.2.2.1.2.1",63
"2.2.2.1.2.2.2.2.2.1.2.1.1.1.1.2.2.2.2.2.3.1",63
"2.2.2.1.2.2.2.2.2.1.2.1.1.1.1.2.2.2.2.3.2.1",63
"2.2.2.1.2.2.2.2.2.1.2.1.1.1.1.3.2.2.2.2.2.1",63
"2.2.2.1.2.2.2.2.2.1.2.1.1.1.2.2.2.2.2.2.2.1",63
"2.2.2.1.2.2.2.2.2.1.2.1.1.2.1.2.2.2.2.2.2.1",63
"2.2.2.1.2.2.2.2.2.1.3.1.1.1.1.2.2.2.2.2.2.1",63
"2.2.2.1.2.2.2.2.2.2.2.1.1.1.1.2.2.2.2.2.2.1",63
"2.2.2.1.2.2.2.2.3.1.2.1.1.1.1.2.2.2.2.2.2.1",63
"2.2.2.1.2.2.2.3.2.1.2.1.1.1.1.2.2.2.2.2.2.1",63
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.3.2.1.1",63
"2.2.2.2.2.2.2.2.2.1.2.1.2.1.1.2.1.2.2.2.2.2",63
"2.2.2.2.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.1.1",63
"1.2.2.1.1.2.3.2.2.1.2.1.2.1.1.2.1.2.2.1.2.1",62
"1.2.2.1.1.2.3.2.2.1.2.1.2.2.1.2.1.2.2.2.2.1",62
"2.2.2.1.2.2.3.1.2.1.2.2.2.1.1.2.1.2.2.2.2.1",61
"2.2.2.1.2.2.3.2.2.1.2.2.2.1.1.2.1.2.2.2.3.1",61
"2.2.2.1.2.2.3.3.2.1.2.2.2.1.1.2.1.2.2.2.2.1",61
"1.1.2.1.2.2.2.2.2.1.2.1.1.1.1.2.1.2.2.2.2.1",60
"1.2.2.1.2.2.2.1.2.1.2.1.1.1.1.2.1.2.2.2.2.1",60
"1.2.2.1.2.2.2.2.1.1.2.1.1.1.1.2.1.2.2.2.2.1",60
"1.2.2.1.2.2.2.2.2.1.1.1.1.1.1.2.1.2.2.2.2.1",60
"1.2.2.1.2.2.2.2.2.1.2.1.1.1.1.1.1.2.2.2.2.1",60
"1.2.2.1.2.2.2.2.2.1.2.1.1.1.1.2.1.2.2.1.2.1",60
"1.2.2.1.2.2.2.2.2.1.2.1.1.1.1.2.1.2.2.2.3.1",60
"1.2.2.1.2.2.2.2.2.1.2.1.1.1.1.2.1.2.2.3.2.1",60
"1.2.2.1.2.2.2.2.2.1.2.1.1.1.1.3.1.2.2.2.2.1",60
"1.2.2.1.2.2.2.2.2.1.2.1.1.1.2.2.1.2.2.2.2.1",60
"1.2.2.1.2.2.2.2.2.1.2.1.1.2.1.2.1.2.2.2.2.1",60
"1.2.2.1.2.2.2.2.2.1.3.1.1.1.1.2.1.2.2.2.2.1",60
"1.2.2.1.2.2.2.2.2.2.2.1.1.1.1.2.1.2.2.2.2.1",60
"1.2.2.1.2.2.2.2.3.1.2.1.1.1.1.2.1.2.2.2.2.1",60
"1.2.2.1.2.2.2.3.2.1.2.1.1.1.1.2.1.2.2.2.2.1",60
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.2.1.2.1.2.1",60
"2.2.2.1.2.2.3.2.2.1.2.1.2.2.1.2.2.1.2.2.2.1",60
"2.2.2.1.2.2.4.2.2.1.2.1.2.1.1.2.2.1.2.2.2.1",60
"2.2.2.2.2.1.2.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",60
"2.2.2.2.2.2.2.2.2.1.2.1.2.1.1.2.1.1.2.2.2.1",60
"2.2.2.2.2.2.2.2.2.1.2.2.2.1.1.2.1.2.2.2.2.1",60
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.3.1.2.1",59
"1.2.2.1.2.2.3.2.2.1.2.1.2.2.1.2.1.2.3.2.2.1",59
"1.2.2.1.2.2.4.2.2.1.2.1.2.1.1.2.1.2.3.2.2.1",59
"1.2.2.2.2.2.3.2.2.1.2.2.2.1.1.2.1.2.2.2.2.1",59
"2.2.2.1.2.2.3.2.1.1.2.1.2.1.1.2.1.2.2.1.2.1",58
"2.2.2.1.2.2.3.2.1.1.2.1.2.2.1.2.1.2.2.2.2.1",58
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.1.2.1.2.1",58
"2.2.2.1.2.2.3.2.2.1.2.1.2.2.1.2.1.1.2.2.2.1",58
"2.2.2.1.2.2.4.2.1.1.2.1.2.1.1.2.1.2.2.2.2.1",58
"2.2.2.1.2.2.4.2.2.1.2.1.2.1.1.2.1.1.2.2.2.1",58
"1.2.2.2.2.2.2.2.2.1.2.1.2.1.1.2.1.2.2.2.2.2",57
"2.2.2.1.2.2.3.1.2.1.2.2.2.1.1.2.2.2.2.2.2.1",57
"2.2.2.1.2.2.3.2.2.1.2.2.2.1.1.2.2.2.2.2.3.1",57
"2.2.2.1.2.2.3.3.2.1.2.2.2.1.1.2.2.2.2.2.2.1",57
"1.2.2.1.2.1.3.1.2.1.2.1.2.1.1.2.1.2.2.2.2.1",56
"1.2.2.1.2.1.3.2.2.1.2.1.2.1.1.2.1.2.2.2.3.1",56
"1.2.2.1.2.1.3.3.2.1.2.1.2.1.1.2.1.2.2.2.2.1",56
"2.1.2.2.2.2.3.2.2.1.2.1.2.1.1.2.2.2.2.2.2.1",56
"2.2.2.1.2.2.3.1.2.1.2.1.2.1.1.2.1.2.2.2.3.1",56
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.1.2.2",56
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.1.2",56
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.3.2.2.2",56
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.2.2.3.2.1.1",56
"2.2.2.1.2.2.3.2.2.1.2.1.2.2.1.2.1.2.2.2.2.2",56
"2.2.2.1.2.2.3.3.2.1.2.1.2.1.1.2.1.2.2.2.3.1",56
"2.2.2.1.2.2.4.2.2.1.2.1.2.1.1.2.1.2.2.2.2.2",56
"2.2.2.2.2.2.3.2.2.1.1.1.2.1.1.2.2.2.2.2.2.1",56
"2.2.2.2.2.2.3.2.2.1.2.1.2.1.1.2.2.2.2.2.1.1",56
"2.2.2.2.2.2.3.2.2.1.2.1.2.1.1.2.2.2.2.3.2.1",56
"2.2.2.2.2.2.3.2.2.1.2.1.2.1.1.3.2.2.2.2.2.1",56
"2.2.2.2.2.2.3.2.2.1.2.1.2.1.2.2.2.2.2.2.2.1",56
"2.2.2.2.2.2.3.2.2.1.3.1.2.1.1.2.2.2.2.2.2.1",56
"2.2.2.2.2.2.3.2.2.2.2.1.2.1.1.2.2.2.2.2.2.1",56
"2.2.2.2.2.2.3.2.3.1.2.1.2.1.1.2.2.2.2.2.2.1",56
"1.2.2.1.2.1.3.2.2.1.2.1.2.1.1.2.1.2.3.2.2.1",55
"1.2.2.2.2.1.2.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",55
"1.2.2.2.2.2.2.2.2.1.2.1.2.1.1.2.1.1.2.2.2.1",55
"1.2.2.2.2.2.2.2.2.1.2.2.2.1.1.2.1.2.2.2.2.1",55
"1.2.2.1.1.2.4.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",54
"2.2.2.1.2.2.3.1.2.1.2.1.2.1.1.2.2.2.2.1.2.1",53
"2.2.2.1.2.2.3.1.2.1.2.1.2.2.1.2.2.2.2.2.2.1",53
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.2.2.2.1.3.1",53
"2.2.2.1.2.2.3.2.2.1.2.1.2.2.1.2.2.2.2.2.3.1",53
"2.2.2.1.2.2.3.3.2.1.2.1.2.1.1.2.2.2.2.1.2.1",53
"2.2.2.1.2.2.3.3.2.1.2.1.2.2.1.2.2.2.2.2.2.1",53
"2.2.2.1.2.2.4.1.2.1.2.1.2.1.1.2.2.2.2.2.2.1",53
"2.2.2.1.2.2.4.2.2.1.2.1.2.1.1.2.2.2.2.2.3.1",53
"2.2.2.1.2.2.4.3.2.1.2.1.2.1.1.2.2.2.2.2.2.1",53
"1.2.2.1.2.1.3.2.2.1.2.1.2.1.1.2.1.1.2.2.2.1",52
"1.2.2.1.2.2.3.1.2.1.2.1.2.1.1.2.1.2.2.2.2.2",52
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.3.2",52
"1.2.2.1.2.2.3.3.2.1.2.1.2.1.1.2.1.2.2.2.2.2",52
"2.2.2.1.2.1.3.2.2.1.2.1.2.1.1.2.2.2.2.1.2.1",49
"2.2.2.1.2.1.3.2.2.1.2.1.2.2.1.2.2.2.2.2.2.1",49
"2.2.2.1.2.1.4.2.2.1.2.1.2.1.1.2.2.2.2.2.2.1",49
"1.2.2.1.2.2.3.1.2.1.2.2.2.1.1.2.1.2.2.2.2.1",48
"1.2.2.1.2.2.3.2.2.1.2.2.2.1.1.2.1.2.2.2.3.1",48
"1.2.2.1.2.2.3.3.2.1.2.2.2.1.1.2.1.2.2.2.2.1",48
"1.2.4.1.2.2.2.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",48
"2.1.2.1.1.2.2.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",48
"2.1.2.1.2.2.2.2.2.1.2.1.2.1.1.1.1.2.2.2.2.1",48
"2.2.2.1.1.2.2.1.2.1.2.1.2.1.1.2.1.2.2.2.2.1",48
"2.2.2.1.1.2.2.2.1.1.2.1.2.1.1.2.1.2.2.2.2.1",48
"2.2.2.1.1.2.2.2.2.1.1.1.2.1.1.2.1.2.2.2.2.1",48
"2.2.2.1.1.2.2.2.2.1.2.1.2.1.1.2.1.2.2.1.2.1",48
"2.2.2.1.1.2.2.2.2.1.2.1.2.1.1.2.1.2.2.2.3.1",48
"2.2.2.1.1.2.2.2.2.1.2.1.2.1.1.2.1.2.2.3.2.1",48
"2.2.2.1.1.2.2.2.2.1.2.1.2.1.1.3.1.2.2.2.2.1",48
"2.2.2.1.1.2.2.2.2.1.2.1.2.1.2.2.1.2.2.2.2.1",48
"2.2.2.1.1.2.2.2.2.1.2.1.2.2.1.2.1.2.2.2.2.1",48
"2.2.2.1.1.2.2.2.2.1.3.1.2.1.1.2.1.2.2.2.2.1",48
"2.2.2.1.1.2.2.2.2.2.2.1.2.1.1.2.1.2.2.2.2.1",48
"2.2.2.1.1.2.2.2.3.1.2.1.2.1.1.2.1.2.2.2.2.1",48
"2.2.2.1.1.2.2.3.2.1.2.1.2.1.1.2.1.2.2.2.2.1",48
"2.2.2.1.2.1.3.2.2.1.2.1.2.1.1.2.1.2.2.1.2.1",48
"2.2.2.1.2.1.3.2.2.1.2.1.2.2.1.2.1.2.2.2.2.1",48
"2.2.2.1.2.1.4.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",48
"2.2.2.1.2.2.2.1.2.1.2.1.2.1.1.1.1.2.2.2.2.1",48
"2.2.2.1.2.2.2.2.1.1.2.1.2.1.1.1.1.2.2.2.2.1",48
"2.2.2.1.2.2.2.2.2.1.1.1.2.1.1.1.1.2.2.2.2.1",48
"2.2.2.1.2.2.2.2.2.1.2.1.2.1.1.1.1.2.2.1.2.1",48
"2.2.2.1.2.2.2.2.2.1.2.1.2.1.1.1.1.2.2.2.3.1",48
"2.2.2.1.2.2.2.2.2.1.2.1.2.1.1.1.1.2.2.3.2.1",48
"2.2.2.1.2.2.2.2.2.1.2.1.2.1.2.1.1.2.2.2.2.1",48
"2.2.2.1.2.2.2.2.2.1.2.1.2.2.1.1.1.2.2.2.2.1",48
"2.2.2.1.2.2.2.2.2.1.3.1.2.1.1.1.1.2.2.2.2.1",48
"2.2.2.1.2.2.2.2.2.2.2.1.2.1.1.1.1.2.2.2.2.1",48
"2.2.2.1.2.2.2.2.3.1.2.1.2.1.1.1.1.2.2.2.2.1",48
"2.2.2.1.2.2.2.3.2.1.2.1.2.1.1.1.1.2.2.2.2.1",48
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.2.1.2.2.2.2",48
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.3.2.1.1",47
"1.2.2.2.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.1.1",47
"2.1.2.1.2.2.3.2.1.1.2.1.2.1.1.2.2.2.2.2.2.1",46
"2.2.2.1.2.2.3.1.2.1.2.1.2.1.1.2.1.2.2.1.2.1",46
"2.2.2.1.2.2.3.1.2.1.2.1.2.2.1.2.1.2.2.2.2.1",46
"2.2.2.1.2.2.3.2.1.1.1.1.2.1.1.2.2.2.2.2.2.1",46
"2.2.2.1.2.2.3.2.1.1.2.1.2.1.1.2.2.2.2.3.2.1",46
"2.2.2.1.2.2.3.2.1.1.2.1.2.1.1.3.2.2.2.2.2.1",46
"2.2.2.1.2.2.3.2.1.1.2.1.2.1.2.2.2.2.2.2.2.1",46
"2.2.2.1.2.2.3.2.1.1.3.1.2.1.1.2.2.2.2.2.2.1",46
"2.2.2.1.2.2.3.2.1.2.2.1.2.1.1.2.2.2.2.2.2.1",46
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.1.3.1",46
"2.2.2.1.2.2.3.2.2.1.2.1.2.2.1.2.1.2.2.2.3.1",46
"2.2.2.1.2.2.3.2.2.1.2.2.2.1.1.2.1.1.2.2.2.1",46
"2.2.2.1.2.2.3.3.2.1.2.1.2.1.1.2.1.2.2.1.2.1",46
"2.2.2.1.2.2.3.3.2.1.2.1.2.2.1.2.1.2.2.2.2.1",46
"2.2.2.1.2.2.4.1.2.1.2.1.2.1.1.2.1.2.2.2.2.1",46
"2.2.2.1.2.2.4.2.2.1.2.1.2.1.1.2.1.2.2.2.3.1",46
"2.2.2.1.2.2.4.3.2.1.2.1.2.1.1.2.1.2.2.2.2.1",46
