"Transition_Karyotypes","n"
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.1.1",1880
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.2.1.2.2.2.1",1879
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.2.2.2.2.3.1",1745
"1.2.2.1.2.2.3.1.2.1.2.1.2.1.1.2.2.2.2.2.2.1",1738
"1.2.2.1.2.2.3.3.2.1.2.1.2.1.1.2.2.2.2.2.2.1",1738
"2.2.3.1.2.2.3.2.2.1.2.1.2.1.1.1.2.2.2.2.2.1",1729
"2.2.3.1.2.2.3.2.2.1.2.1.2.1.1.2.3.2.2.2.2.1",1494
"2.2.2.1.2.2.3.2.2.1.2.1.1.1.1.2.1.2.3.2.2.1",1492
"2.2.2.2.2.2.3.2.2.1.2.1.1.1.1.2.2.2.2.2.2.1",1492
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.2.2.2.2.1.1",1452
"1.2.3.1.2.2.3.2.2.1.2.1.1.1.1.2.1.2.2.2.2.1",1447
"2.2.2.2.2.2.3.2.2.1.2.1.2.1.1.1.1.2.2.2.2.1",1428
"1.2.2.2.2.2.2.2.2.1.2.1.2.1.1.2.2.2.2.2.2.1",1414
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.1.1.2.3.2.2.1",1404
"1.2.2.1.2.1.3.2.2.1.2.1.2.1.1.2.2.2.2.2.2.1",1393
"2.2.2.1.1.2.3.2.2.1.2.1.1.1.1.2.2.2.2.2.2.1",1390
"2.2.2.1.1.2.2.2.2.1.2.1.1.1.1.2.2.2.2.2.2.1",1340
"2.2.2.1.2.2.3.2.2.1.2.1.1.1.1.2.1.1.2.2.2.1",1338
"2.2.2.1.2.2.2.2.2.1.2.1.1.1.1.1.2.2.2.2.2.1",1330
"2.2.2.1.2.2.3.2.2.1.2.1.1.1.1.1.2.2.2.2.2.1",1330
"2.2.2.1.2.1.3.2.2.1.2.1.1.1.1.2.1.2.2.2.2.1",1328
"2.2.2.2.2.2.2.2.2.1.2.1.1.1.1.2.2.2.2.2.2.1",1324
"2.2.2.1.1.2.3.2.2.1.2.1.2.1.1.1.2.2.2.2.2.1",1302
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.2.2",1294
"1.2.2.1.2.2.3.2.2.1.2.2.2.1.1.2.1.2.2.2.2.1",1294
"2.2.2.1.1.2.2.2.2.1.2.1.2.1.1.1.2.2.2.2.2.1",1293
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.1.1.1.2.2.2.1",1259
"2.2.2.1.1.2.3.2.2.1.2.1.2.1.1.2.3.2.2.2.2.1",1248
"1.2.2.1.2.2.3.2.2.1.2.1.2.2.1.2.2.2.2.2.2.1",1236
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.2.2.2.1.2.1",1233
"2.2.2.1.2.2.2.2.2.1.2.1.2.1.1.2.2.2.3.2.2.1",1232
"1.2.3.1.2.2.3.2.2.1.2.1.2.1.1.1.1.2.2.2.2.1",1231
"2.2.3.1.2.2.3.2.1.1.2.1.2.1.1.2.1.2.2.2.2.1",1224
"1.2.2.1.2.2.4.2.2.1.2.1.2.1.1.2.2.2.2.2.2.1",1180
"2.2.4.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",1166
"2.2.2.1.2.2.3.2.1.1.2.1.1.1.1.2.1.2.2.2.2.1",1158
"1.2.2.1.2.2.2.2.2.1.2.1.2.1.1.2.3.2.2.2.2.1",1152
"2.2.2.1.2.2.3.2.2.1.2.1.1.1.1.2.1.2.2.2.3.1",1150
"2.2.2.1.2.2.3.1.2.1.2.1.1.1.1.2.1.2.2.2.2.1",1146
